PLAYER,TIME,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
ARCHIE,8:00 AM - 12:00 NN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
ARCHIE,12:00 NN - 4:00 PM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
ARCHIE,4:00 PM - 8:00 PM,AVAILABLE,AVAILABLE,PERHAPS,PERHAPS,PERHAPS,AVAILABLE,AVAILABLE
ARCHIE,8:00 PM - 12:00 MN,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
ARCHIE,12:00 MN - 4:00 AM,AVAILABLE,PERHAPS,PERHAPS,PERHAPS,PERHAPS,AVAILABLE,AVAILABLE
SHAYAN,8:00 AM - 12:00 NN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
SHAYAN,12:00 NN - 4:00 PM,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,AVAILABLE,AVAILABLE
SHAYAN,4:00 PM - 8:00 PM,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
SHAYAN,8:00 PM - 12:00 MN,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,PERHAPS,PERHAPS
SHAYAN,12:00 MN - 4:00 AM,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS
JACUB & RICK,8:00 AM - 12:00 NN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
JACUB & RICK,12:00 NN - 4:00 PM,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
JACUB & RICK,4:00 PM - 8:00 PM,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS
JACUB & RICK,8:00 PM - 12:00 MN,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE
JACUB & RICK,12:00 MN - 4:00 AM,PERHAPS,PERHAPS,PERHAPS,PERHAPS,AVAILABLE,AVAILABLE,PERHAPS
FORD,8:00 AM - 12:00 NN,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS
FORD,12:00 NN - 4:00 PM,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS
FORD,4:00 PM - 8:00 PM,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS
FORD,8:00 PM - 12:00 MN,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS
FORD,12:00 MN - 4:00 AM,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS,PERHAPS
SHAHWAIZ,8:00 AM - 12:00 NN,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE
